baseline_fail_experiment_pass,baseline_mean,baseline_pass_experiment_fail,both_fail,both_pass,case_count,ci_95_high,ci_95_low,conclusive,experiment_id,experiment_mean,mean_difference,metric
,1144.4706588231115,,,,34,404.63360588182695,206.47461176635903,True,CP02,1447.126111765101,302.6554529419895,total_latency
,1141.1764705882354,,,,34,0.5588235294117647,-16.91176470588235,False,CP02,1134.0,-7.176470588235294,estimated_context_tokens
0,0.3333333333333333,3,20,7,30,0.0,-0.23333333333333334,False,CP03,0.23333333333333334,-0.1,complete_evidence_recall
0,0.36666666666666664,3,19,8,30,0.0,-0.23333333333333334,False,CP03,0.26666666666666666,-0.1,all_reports_hit
,0.46111111111111114,,,,30,0.0,-0.23333333333333334,False,CP03,0.3611111111111111,-0.1,evidence_recall
,0.29901960784313725,,,,34,0.004901960784313728,-0.0784313725490196,False,CP03,0.26715686274509803,-0.031862745098039214,macro_mrr
,1144.4706588231115,,,,34,217.11497059004614,58.89046764744254,True,CP03,1272.2130470578763,127.7423882347648,total_latency
,1141.1764705882354,,,,34,-1.5294117647058822,-19.441176470588236,True,CP03,1131.4705882352941,-9.705882352941176,estimated_context_tokens
0,0.3333333333333333,3,20,7,30,0.0,-0.23333333333333334,False,CP04,0.23333333333333334,-0.1,complete_evidence_recall
0,0.36666666666666664,3,19,8,30,0.0,-0.23333333333333334,False,CP04,0.26666666666666666,-0.1,all_reports_hit
,0.46111111111111114,,,,30,-0.01111111111111111,-0.23333333333333334,True,CP04,0.35,-0.11111111111111112,evidence_recall
,0.29901960784313725,,,,34,0.004901960784313728,-0.0784313725490196,False,CP04,0.26715686274509803,-0.031862745098039214,macro_mrr
,1144.4706588231115,,,,34,299.3917088251157,166.0419794095694,True,CP04,1377.0404970585814,232.56983823546975,total_latency
,1141.1764705882354,,,,34,-0.4117647058823529,-17.323529411764707,True,CP04,1133.0882352941176,-8.088235294117647,estimated_context_tokens
2,0.3333333333333333,1,18,9,30,0.13333333333333333,-0.06666666666666667,False,DIV01,0.36666666666666664,0.03333333333333333,complete_evidence_recall
2,0.36666666666666664,1,17,10,30,0.13333333333333333,-0.06666666666666667,False,DIV01,0.4,0.03333333333333333,all_reports_hit
,0.46111111111111114,,,,30,0.12777777777777777,-0.05555555555555556,False,DIV01,0.5055555555555555,0.04444444444444444,evidence_recall
,0.29901960784313725,,,,34,0.05718954248366013,-0.026143790849673207,False,DIV01,0.31209150326797386,0.013071895424836598,macro_mrr
,1144.4706588231115,,,,34,1960.079949999721,1276.6600323542234,True,DIV01,2740.7250000007266,1596.254341177615,total_latency
,1141.1764705882354,,,,34,909.2058823529412,620.6176470588235,True,DIV01,1897.8823529411766,756.7058823529412,estimated_context_tokens
2,0.3333333333333333,1,18,9,30,0.13333333333333333,-0.06666666666666667,False,EXP01,0.36666666666666664,0.03333333333333333,complete_evidence_recall
2,0.36666666666666664,1,17,10,30,0.13333333333333333,-0.06666666666666667,False,EXP01,0.4,0.03333333333333333,all_reports_hit
,0.46111111111111114,,,,30,0.11111111111111112,-0.06666666666666667,False,EXP01,0.4888888888888889,0.027777777777777783,evidence_recall
,0.29901960784313725,,,,34,0.015441176470588236,-0.05637254901960785,False,EXP01,0.27892156862745093,-0.02009803921568628,macro_mrr
,1144.4706588231115,,,,34,1841.29539411729,1203.2011794144637,True,EXP01,2651.1109558829476,1506.640297059836,total_latency
,1141.1764705882354,,,,34,912.9411764705883,625.1470588235294,True,EXP01,1902.735294117647,761.5588235294117,estimated_context_tokens
2,0.3333333333333333,1,18,9,30,0.13333333333333333,-0.06666666666666667,False,EXP02,0.36666666666666664,0.03333333333333333,complete_evidence_recall
2,0.36666666666666664,1,17,10,30,0.13333333333333333,-0.06666666666666667,False,EXP02,0.4,0.03333333333333333,all_reports_hit
,0.46111111111111114,,,,30,0.11111111111111112,-0.06666666666666667,False,EXP02,0.4888888888888889,0.027777777777777783,evidence_recall
,0.29901960784313725,,,,34,0.015441176470588236,-0.05637254901960785,False,EXP02,0.27892156862745093,-0.02009803921568628,macro_mrr
,1144.4706588231115,,,,34,1758.968405880938,1142.553764704858,True,EXP02,2576.965049998869,1432.4943911757573,total_latency
,1141.1764705882354,,,,34,912.9411764705883,625.1470588235294,True,EXP02,1902.735294117647,761.5588235294117,estimated_context_tokens
2,0.3333333333333333,1,18,9,30,0.13333333333333333,-0.06666666666666667,False,FAC01,0.36666666666666664,0.03333333333333333,complete_evidence_recall
2,0.36666666666666664,1,17,10,30,0.13333333333333333,-0.06666666666666667,False,FAC01,0.4,0.03333333333333333,all_reports_hit
,0.46111111111111114,,,,30,0.11111111111111112,-0.06666666666666667,False,FAC01,0.4888888888888889,0.027777777777777783,evidence_recall
,0.29901960784313725,,,,34,0.015441176470588236,-0.05637254901960785,False,FAC01,0.27892156862745093,-0.02009803921568628,macro_mrr
,1144.4706588231115,,,,34,1804.7440176481305,1216.3097470586174,True,FAC01,2642.769764706506,1498.2991058833945,total_latency
